id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
O15145	-0.086	0.096	0.24	0.375	0.289	0.241	0.303	0.577	0.491	0.385	0.086	0.335
Q96PN1	-0.809	-0.438	0.571	0.578	-0.722	-0.629	0.041	1.233	-0.12	-0.057	-0.554	0.835
Q9H7Y0	0.006	0.06	-0.032	-0.016	-0.157	-0.011	0.046	0.091	-0.039	0.064	-0.135	0.104
Q04760	0.258	0.394	0.029	0.452	1.022	0.84	0.744	0.367	0.789	0.253	0.556	0.494
Q496M2	-0.041	0.03	0.089	0.036	-0.011	0.027	-0.001	0.075	-0.091	-0.001	0.015	-0.04
P42702	-0.027	0.138	0.027	-0.115	-0.047	0.074	-0.172	-0.099	-0.323	-0.021	-0.08	-0.01
Q13103	-0.051	0.018	0.118	0.016	-0.002	0.016	0.137	0.033	-0.162	0.081	0.212	0.089
B4DLL5	-0.258	-0.07	0.03	0.017	0.055	-0.031	0.009	-0.041	0.01	-0.134	0.036	-0.035
Q16620	-0.01	-0.021	-0.001	-0.099	0	-0.026	-0.074	0.007	-0.06	-0.05	0.018	-0.02
Q14651	0.095	0.011	0.072	-0.134	0.041	0.058	0.07	0.008	0.049	-0.01	0.051	0.021
A8TX70	0.013	0.005	0.053	0.322	0.01	0.032	-0.02	0.092	0.046	0.027	-0.043	0.157
A6NGU5	0.027	0.102	-0.055	-0.073	0.05	0.052	-0.093	0.166	0.03	-0.06	-0.067	-0.053
Q68CN4	0.274	-0.502	-1.689	-1.338	0.035	-0.392	-1.987	-1.956	0.204	-0.537	-0.501	-2.067
Q8WWQ8	-0.014	-0.058	-0.107	-0.111	-0.064	-0.125	-0.059	-0.579	-0.118	-0.051	-0.037	-0.129
P08294	0.455	0.983	0.647	0.453	0.459	0.899	0.439	0.357	-0.058	0.127	-0.012	-0.015
B4DJ06	0.022	0.044	0.007	-0.047	0.103	0.1	-0.009	-0.141	0.094	0.074	0.123	-0.07
P10599	-0.049	0.053	-0.08	0.012	0.26	0.196	0.011	0.185	0.287	0.02	0.049	0.139
P09382	0.004	0.048	0.111	0.051	-0.032	0.133	0.26	0.114	0.163	0.023	-0.045	-0.014
Q5ZPR3	-0.045	0.011	0.125	-0.041	-0.026	0.038	0.041	-0.01	-0.12	0.046	0.123	-0.022
Q567Q0	0.013	0.089	0.094	0.175	0.398	0.307	0.326	0.374	0.359	-0.018	0.116	0.151
P09603	0.074	0.115	0.137	-0.086	-0.033	0.127	0.043	-0.137	0.032	0.223	0.158	-0.006
Q49AT3	-0.029	0.039	0	-0.115	-0.028	0	-0.013	-0.249	-0.17	-0.055	-0.01	-0.136
P17066	0.032	0.149	0.075	0.273	0.586	0.402	0.621	0.442	1.111	0.537	0.945	0.675
Q92485	0.064	0.063	-0.094	-0.072	-0.034	0.032	-0.074	-0.184	-0.067	-0.024	0.077	-0.005
P20933	-0.16	-0.145	0.083	-0.031	-0.05	-0.171	-0.109	-0.177	-0.025	-0.123	-0.086	-0.063
A9R9N7	-0.155	-0.001	0.017	-0.031	-0.028	0.072	-0.051	-0.007	-0.111	-0.047	0.015	0.021
P04626	0.211	-0.023	0.143	-0.116	0.073	-0.027	0.153	-0.215	0.02	-0.057	0.197	0.018
P02775	1.038	-0.33	0.171	0.062	0.766	-0.379	-0.105	0.169	0.646	-0.832	0.418	-0.369
P29218	0.16	0.05	0.042	0.337	0.934	0.378	0.888	0.375	0.994	0.578	1.013	0.818
A2AEA4	-0.158	0.033	-0.046	0.031	0.023	0.084	-0.057	-0.049	-0.056	-0.02	-0.066	-0.012
Q13404	0.041	0.119	-0.277	0.073	0.088	0.484	-0.093	0.325	0.224	0.09	0.046	0.228
Q14847	-0.168	0.014	0.095	0.162	-0.163	-0.041	0.084	0.252	0.168	0.196	-0.229	0.146
C9JF17	0.451	-0.378	-1.176	-1.055	0.093	-0.198	-0.988	-1.202	0.354	-0.276	-0.62	-1.225
Q99941	0.025	0.215	0.141	0.097	-0.055	0.212	0.053	-0.067	-0.289	-0.121	-0.057	-0.097
C9J1H1	-0.348	0.244	-0.211	0.141	0.043	0.311	-0.126	0.21	0.387	0.139	-0.368	0.273
O95394	-0.151	0.137	-0.059	0.095	0.28	0.201	0.001	0.053	0.895	0.194	0.085	0.063
Q5VTE0	-0.064	-0.456	0.042	-0.303	0.337	-0.336	0.65	-0.17	0.392	-0.36	0.35	-0.143
B2RC45	0.103	0.044	-0.164	-0.127	0.136	0.136	0.302	0.435	0.003	0.048	0.16	0.008
P31944	-0.116	0.364	0.845	-0.414	-0.193	0.357	-0.051	-0.245	-0.377	0.238	-0.184	-0.445
Q6WN34-2	-0.186	-0.016	-0.046	0.123	-0.195	-0.025	0.031	0.042	-0.136	-0.069	-0.127	0.082
P61916	0.03	0.134	0.075	0.02	0.148	0.123	0.16	0.156	0.021	0.075	0.242	0.003
C9JNB3	-0.134	0.094	-0.008	0.049	-0.046	0.016	-0.015	0.018	-0.196	-0.032	-0.006	0.117
P11279	-0.022	0.105	0.107	0.06	0.015	-0.025	0.043	0.081	-0.139	-0.061	-0.018	0.013
P30466	-0.084	0.007	0	-0.008	0.008	0.055	0.004	-0.162	-0.079	-0.02	-0.016	-0.086
P05451	0.013	0.054	0.011	-0.137	0.016	0.026	-0.199	-0.041	1.688	-0.02	-0.015	0.071
Q9Y5Z4	0.048	0.324	-0.09	0.123	0.75	0.617	0.477	0.089	0.514	0.186	0.328	0.081
P13688	0.003	-0.007	-0.007	0.042	0.012	0.018	-0.131	0.022	0.008	-0.061	-0.07	0.01
B4DYH1	-0.083	0.07	-0.01	0.057	0.201	0.233	0.044	0.004	0.442	0.229	0.04	0.066
P56470	0.074	0.003	0.115	-0.012	0.15	-0.04	0.496	0.157	0.275	-0.003	0.228	0.319
C9JZH0	-0.131	0.114	-0.019	0.105	0.021	-0.012	0.05	-0.084	-0.113	0.142	0.026	-0.021
Q9Y3B8	0.128	0.172	-0.075	-0.03	0.98	0.701	0.875	0.268	1.246	0.785	1.259	0.477
P18135	-0.037	-0.298	-1.73	-0.835	-0.029	-0.246	-1.907	-0.914	0.101	-0.158	-0.809	-0.958
Q9BRF8	0.245	0.229	0.025	0.473	0.71	0.579	0.451	0.471	0.677	0.278	0.19	0.198
Q6UWB1	0.066	0.011	-0.168	0.056	-0.013	-0.168	-0.084	-0.055	-0.044	-0.117	-0.197	0.019
P20929	0.048	0.042	0.027	0.124	0.009	0.048	-0.027	0.226	-0.159	-0.068	0.078	-0.039
P30085	-0.208	-0.073	-0.135	0.088	0.392	0.303	-0.084	0.061	0.782	0.151	-0.224	0.252
Q6ZMI3	0.126	0.065	-0.168	0.151	-0.045	0.024	-0.661	-0.176	-0.056	-0.009	-0.322	-0.128
Q8IZT6	-0.061	-0.351	0.072	0.125	-0.077	-0.15	0.049	0.095	-0.198	-0.271	0.009	0.052
B2RCC8	-0.157	-0.143	0.089	-0.013	-0.107	-0.083	-0.105	-0.057	-0.214	-0.057	-0.086	-0.081
O75347	-0.035	0.085	-0.204	0.247	0.427	0.347	0.151	0.283	0.469	0.11	0.2	0.273
Q9NT22	-0.095	0.012	-0.05	-0.101	-0.097	0.039	-0.021	-0.058	-0.104	-0.041	-0.187	0.001
Q9BRK3-2	-0.165	0.028	-0.005	0.098	-0.035	0.011	0.036	0.041	-0.243	-0.013	-0.084	-0.139
O95861-2	0.125	0.216	0.04	0	0.644	0.432	0.507	0.353	0.715	0.254	0.494	0.377
Q8N1N4	-0.721	-0.257	-0.049	0.279	-0.479	-0.05	-0.108	0.97	-0.372	0.584	-0.231	0.683
Q7Z5F3	0.054	0.021	-0.057	-0.226	-0.037	0.068	-0.038	-0.221	2.302	0.073	-0.03	-0.017
B5A977	0.055	0.052	-0.103	0.016	0.088	0.033	-0.13	0.019	0.027	0.136	0.069	0.006
Q15181	-0.011	0.178	-0.094	0.271	0.144	0.513	0.142	0.567	0.445	0.099	-0.122	-0.093
O75390	0.109	-0.009	-0.151	0.08	0.768	0.229	0.235	0.092	1.846	1.591	1.499	0.896
O75095	0.096	-0.028	0.027	-0.083	0.198	0.024	0.027	-0.265	-0.019	-0.034	0.071	-0.206
Q6P5S3	-0.03	-0.536	-1.587	-1.089	-0.075	-0.38	-1.53	-1.528	0.021	-0.528	-0.597	-1.489
O60486	-0.084	0.089	-0.052	-0.555	-0.088	0.136	0.005	NA	0.003	0.055	0.059	-0.206
Q9NVS9	0.174	0.343	-0.082	0.109	0.436	0.478	0.709	0.138	0.589	0.395	0.579	0.004
D3YTJ1	0.027	-0.127	0.112	0.211	0.32	0.062	0.233	0.47	0.552	0.093	0.59	0.482
P31040	0.129	0.386	-0.337	0.185	1.147	0.412	1.328	0.152	1.112	0.53	1.765	-0.351
Q9BYF1	0.001	-0.098	0.053	0.055	0.064	0.028	0.225	-0.08	0.65	-0.006	0.371	-0.096
O95154	0.021	-0.083	-0.017	-0.678	0.483	-0.1	-0.023	-0.332	1.725	0.135	-0.135	-0.369
O95831	0.043	-0.001	NA	0.405	0.555	0.412	NA	0.502	1.068	-0.243	NA	0.322
Q9UFH2	0.125	-0.111	-0.017	-0.393	-0.01	-0.002	-0.274	-0.466	0.004	-0.264	-0.3	-0.24
P32929	0.045	-0.063	NA	NA	0.925	-0.065	NA	NA	0.94	0.136	NA	NA
D3DT26	-0.066	-0.06	-0.132	0.116	0.249	-0.034	-0.131	0.248	0.142	-0.114	-0.078	0.036
B4DFX9	2.787	NA	0.167	0.321	0.359	NA	0.044	0.468	-0.116	NA	0.152	0.003
Q4G0N4	0.031	NA	NA	-0.511	0.793	NA	NA	-1.22	1.131	NA	NA	0.17
P28161	0.009	0.114	0.072	0.125	0.735	0.329	0.387	0.212	1.056	0.372	0.92	0.545
P19883	1.148	1.414	0.91	1.29	0.903	1.207	0.707	0.983	-0.019	0.065	0.068	-0.031
Q13418	-0.965	-0.73	0.349	0.207	-1.205	-1.002	-0.148	0.774	-0.363	-0.004	-0.646	0.46
P17050	-0.04	0.117	0.027	-0.052	0.035	0.084	0.012	-0.004	-0.094	0.031	0.063	-0.102
P47972	-0.056	-0.004	-0.01	-0.085	-0.103	0.063	-0.16	-0.068	-0.062	0.003	-0.005	-0.022
B1PS43	-0.011	-0.048	0.054	0.379	-0.092	-0.124	0.034	0.552	0.139	-0.078	0.168	0.104
B4DHK9	-0.034	0.161	0.092	0.116	0.123	0.194	0.148	0.348	0.397	0.416	0.006	0.23
Q96BZ4	-0.142	-0.032	0.006	-0.014	-0.03	-0.032	0.002	0.028	-0.037	-0.113	0.078	0.023
P25445	-0.251	0.057	-0.127	-0.072	-0.043	0.112	-0.264	-0.127	-0.007	0.133	-0.18	0.028
Q5VTU6	-0.022	0.013	-0.087	0.201	-0.091	0.088	-0.142	0.089	-0.221	0.093	-0.053	0.111
Q9H0X4	-0.108	-0.041	0.05	0.001	-0.049	-0.019	-0.013	-0.08	-0.094	0.024	0.072	-0.035
Q86T13	0.103	0.097	0.067	0.074	-0.019	0.086	0.074	-0.003	-0.08	-0.022	0.055	0.019
B4DVV1	-0.147	-0.034	-0.044	0.12	0.006	0.015	0.02	0.086	0.187	0.117	-0.035	0.104
Q08174-2	0.009	0.088	-0.02	-0.078	-0.147	0.094	-0.075	-0.038	-0.04	0.116	-0.096	0.095
P30566	0.09	0.074	-0.1	0.818	0.092	0.284	-0.084	0.82	0.187	0.121	0.035	0.357
Q9UP79	-0.074	-0.183	0.057	0.035	-0.192	-0.17	-0.062	-0.16	-0.238	-0.158	-0.165	-0.063
Q92187	-0.119	-0.17	0.04	-0.002	-0.11	-0.088	0.025	-0.001	-0.238	-0.198	0.091	-0.184
P28066	0.084	0.044	0.048	-0.021	0.241	0.132	0.06	0.209	0.67	0.261	0.26	-0.004
P34096	0.026	0.188	-0.072	-0.065	0.01	0.258	-0.097	0.001	0.081	0.277	0.044	0.078
O95393	0.002	0.135	0.117	-0.072	-0.35	0.095	0.274	-0.049	-0.314	0	-0.486	-0.003
P55809	0.042	-0.021	0.103	0.121	0.199	0.117	0.209	0.039	1.09	0.968	0.832	0.526
O75022-2	0.026	0.013	0.021	0.141	-0.119	-0.043	-0.006	-0.026	-0.213	0.009	-0.094	-0.042
Q58FF2	-0.088	0.039	0.111	0.012	-0.124	0.047	0.208	0.066	0.306	0.05	-0.025	0.019
B4DJA4	0.281	0.171	-0.039	0.245	0.751	0.477	1.052	0.366	1.021	0.567	1.32	0.745
P22061-2	-0.11	-0.01	-0.141	0.043	0.034	0.211	-0.02	0.254	0.153	0.047	-0.144	0.122
P60660-2	0.064	0.183	0.526	0.281	0.109	0.076	0.814	0.332	-0.057	0.11	0.374	0.054
B7Z6G1	-0.077	-0.001	0.013	-0.067	-0.211	-0.027	0.018	-0.045	-0.144	0.041	0.098	-0.014
Q9UJA9	-0.02	-0.023	0.071	0.091	-0.003	-0.081	-0.007	-0.016	-0.115	-0.099	0.06	0.017
Q9NTU7	-0.064	0.041	0.085	-0.016	-0.004	0.059	-0.047	-0.013	-0.099	-0.07	0.004	-0.052
Q6ZMJ2	-0.146	-0.114	0.04	0.026	-0.192	-0.083	0.032	-0.217	-0.267	0.053	-0.067	-0.131
P48059	-0.798	-0.563	0.316	0.202	-0.844	-0.785	-0.202	0.414	-0.176	0.082	-0.702	0.324
Q9BWP8-9	0.067	0.014	-0.043	-0.078	-0.09	-0.098	-0.075	-0.07	-0.193	-0.172	-0.053	-0.017
B7ZAS5	-0.051	-0.086	0.07	-0.082	-0.093	-0.09	0.062	-0.054	-0.146	-0.095	0.002	0.033
P69905	-0.038	0.294	-0.423	-0.189	0.017	0.675	-0.063	-0.12	0.033	0.321	0.202	-0.213
D3DTN0	-0.135	0.017	0.027	-0.191	-0.132	-0.013	0.228	-0.138	-0.149	-0.053	0.034	-0.207
P84243	0.728	0.408	0.137	0.427	1.453	0.895	0.992	0.251	1.479	1.275	1.498	0.407
Q71DI3	0.771	0.408	0.184	0.433	1.492	0.899	0.795	0.144	1.379	1.354	1.432	0.372
P68431	0.624	0.362	0.123	0.433	1.371	0.897	0.722	0.299	1.315	1.315	1.366	0.44
Q92743	-0.155	-0.018	-0.167	-0.11	-0.12	-0.107	-0.093	-0.23	-0.164	0.15	-0.028	-0.11
P10316	-0.152	0.007	0.022	-0.026	0.009	0.033	-0.061	0.018	-0.083	-0.04	0.015	0.022
Q92896-2	-0.013	0.01	0.046	-0.057	-0.147	0.033	-0.023	-0.076	-0.173	-0.185	0.02	-0.322
P02652	0.513	0.035	-1.545	-1.054	0.305	0.032	-0.105	-1.361	0.473	-0.263	-0.258	-2.106
P17900	-0.052	0.081	0.016	-0.012	0.015	0.093	0.13	0.177	-0.061	0.007	0.089	0.07
B4DGR9	0.225	-0.074	-0.134	0.345	0.652	-0.031	0.163	0.053	0.811	-0.131	0.24	0.205
O75368	-0.066	0.014	-0.021	-0.053	0.074	0.084	-0.232	0.067	0.139	-0.056	-0.197	0.063
P68036	0.079	-0.078	-0.11	-0.003	-0.021	0.052	0.035	0.003	-0.088	-0.035	0.021	-0.151
Q8N6Q3	-0.191	0.167	-0.02	0.105	-0.044	0.132	-0.049	0.273	-0.19	0.238	-0.068	0.054
Q6UWP8	-0.06	0.077	-0.021	-0.168	-0.133	0.131	-0.083	-0.08	0.046	0.108	-0.039	-0.211
P13598	0.03	0.013	0.083	-0.034	-0.004	0.004	0.092	-0.021	-0.054	-0.09	0.131	-0.011
P07108	0.339	0.227	0.16	0.172	1.012	0.543	0.897	0.322	0.861	0.05	0.765	0.424
O00764	0.136	0.179	-0.191	0.255	1.216	0.591	0.708	0.36	1.415	0.367	0.871	0.361
P49773	0.098	0.154	-0.24	-0.11	0.62	0.479	0.154	0.199	0.608	0.218	0.194	0.087
B4DR52	0.379	0.492	0.34	0.001	1.222	0.995	1.086	0.113	1.345	1.476	1.482	0.331
P33778	0.557	0.45	0.201	-0.018	1.225	0.958	0.763	0.094	1.414	1.483	1.405	0.295
P03950	0.058	0.332	0.047	0.248	0.223	0.475	0.182	0.408	0.129	0.258	-0.03	0.315
A5JUX0	-0.17	-0.061	0.017	-0.031	-0.069	-0.01	-0.061	0.043	-0.139	-0.098	-0.016	0.021
P22607-2	0.041	-0.025	-0.04	0.013	-0.037	-0.032	-0.048	-0.019	-0.16	0.014	-0.1	0.002
P30530	-0.07	-0.083	0.076	-0.033	-0.048	0.079	0.065	-0.003	-0.116	0.053	0.128	-0.029
P23435	0.015	0.07	0.013	-0.214	-0.033	0.021	0.123	-0.153	-0.017	-0.119	0.046	-0.097
P19012	-0.801	-1.244	-0.086	-0.187	-0.535	-1.299	-0.182	0.378	-0.587	-0.714	-0.381	0.448
Q16401	0.003	-0.019	-0.079	0.452	0.31	0.129	-0.184	0.118	0.261	-0.015	-0.031	0.151
Q96J42	-0.044	-0.014	0.007	-0.091	-0.033	0.103	0.003	-0.087	-0.076	-0.004	0.006	-0.111
B4DLJ7	-0.079	-0.052	0.035	0.061	0.056	-0.013	-0.032	-0.004	-0.028	-0.086	0.026	0.008
P15529-8	-0.055	-0.039	0.037	0.049	-0.046	0.02	-0.04	0.02	-0.089	0.052	0.067	0.077
Q96GP6	-0.011	0.026	-0.102	-0.083	0.032	-0.015	-0.098	-0.061	-0.123	-0.095	-0.026	-0.101
Q8IUK8	0.098	0.047	0.098	-0.234	0.002	0.018	0.145	-0.047	0.136	-0.034	0.053	-0.114
Q5HYE3	0.123	0.312	0.056	-0.341	-0.024	0.096	0.078	-0.452	-0.157	-0.334	-0.206	-0.187
O14980	-0.012	0.243	0.013	0.251	0.094	0.405	0.066	0.351	0.136	0.014	-0.258	0.187
B7Z6B8	0.799	0.747	0.483	-0.532	1.612	1.126	1.736	-0.365	0.98	0.475	0.928	-0.21
P26641	-0.153	-0.207	0.354	0.158	0.238	-0.218	0.299	0.239	0.481	0.017	-0.279	0.122
P20700	0.133	0.051	0.039	0.015	-0.053	0.064	0.203	0.134	0.133	-0.086	0.006	0.138
Q8NFP4-2	-0.023	-0.111	0.106	1.022	-0.106	-0.214	0.223	0.118	-0.167	0.263	0.146	-0.145
Q9UKZ9	0.013	-0.097	-0.023	-0.139	-0.042	-0.082	-0.136	-0.034	-0.176	-0.07	-0.318	-0.047
P00813	-0.079	-0.016	0.089	0.023	-0.117	-0.006	0.176	0.011	0	-0.046	0.114	-0.046
Q92876	-0.202	0.108	-0.011	0.033	-0.148	-0.085	-0.176	0.144	-0.224	0.097	0.063	-0.036
P58335	0.012	-0.082	-0.064	0.051	0.039	0.021	-0.069	0.019	-0.035	0.054	0.037	0.022
Q9UHG3	0.155	0.136	-0.196	0.017	0.045	0.064	0.002	-0.205	0.011	0.06	0.002	-0.027
Q8IYS5	-0.099	0.058	0.123	0.01	0.017	0.062	-0.004	-0.098	-0.309	-0.025	-0.023	-0.005
Q96B24	-0.067	0.131	-0.043	0.046	0.061	0.027	-0.023	0.085	-0.016	0.048	-0.04	0.03
Q6MZK8	0.118	0.099	0.095	0.306	0.239	0.326	-0.02	0.359	0.083	0.238	0.05	0.105
Q9Y6Z7	-0.02	0.015	-0.016	-0.094	-0.052	-0.065	-0.013	0.064	-0.146	-0.025	-0.118	-0.06
Q9BWV1-3	0.037	-0.052	-0.087	-0.276	-0.05	-0.035	-0.072	-0.365	-0.03	-0.018	-0.014	-0.188
Q9UJU6-3	-0.182	-0.215	0.101	-0.074	-0.372	-0.135	0.033	0.07	-0.08	-0.146	-0.288	-0.305
B3KP20	-0.01	0.072	-0.111	0.384	0.652	0.276	0.233	0.228	1.167	0	0.178	0.117
Q14247	-0.287	-0.272	0.36	0.129	-0.289	-0.353	0.081	0.177	0.107	0.034	-0.313	0.2
P20333	0.041	0.012	-0.103	0.016	0.072	0.013	-0.13	0.019	0.019	0.168	0.069	0.006
Q8TDR6	-0.031	0.089	0.032	-0.089	0.412	0.039	0.034	-0.11	0.932	0.226	0.066	-0.117
B2R7P6	-0.086	0.056	-0.163	0.11	0.162	0.234	0.162	0.277	0.44	0.233	0.008	0.096
P46108	-0.121	0.058	-0.169	-0.062	0.035	0.181	0.051	0.051	0.025	-0.006	0.175	-0.008
Q15303	-0.09	0.036	0.021	0.208	-0.094	0.035	0.098	-0.134	-0.148	-0.105	0.085	-0.129
Q96PX8	0.009	0.156	-0.054	-0.072	-0.059	0.122	-0.248	-0.368	-0.068	0.078	-0.097	-0.228
O95274	0.011	-0.005	-0.061	0.108	0.033	-0.037	-0.035	-0.183	-0.097	-0.054	0.043	0.015
P21281	-0.229	0.164	-0.052	0.108	-0.017	0.161	0.189	0.075	0.181	0.196	0.066	0.194
P10644	-0.059	0.191	0.053	0.279	0.251	0.132	0.447	0.434	0.517	0.289	0.355	0.135
Q96I15	0.083	-0.027	0.042	0.003	0.226	-0.266	0.1	-0.108	0.675	-0.048	0.086	0.045
Q5CZ94	-0.084	-0.536	-1.473	-1.087	-0.079	-0.38	-1.513	-1.5	-0.008	-0.528	-0.59	-1.472
Q6FHJ7	0.164	0.13	0.093	0.087	0.01	0.21	0.062	0.051	-0.15	-0.024	0.061	-0.111
O94910-2	0.013	0.013	-0.083	-0.12	-0.118	-0.04	-0.129	-0.283	-0.146	0.044	0.013	-0.178
Q07092	0.035	-0.005	0.095	-0.231	-0.062	-0.077	0.033	-0.094	-0.167	-0.145	0.037	-0.068
Q16627	-0.116	0.041	0.085	0	-0.011	0.107	0.003	-0.031	-0.205	-0.006	-0.042	-0.02
P48304	-0.069	0.067	-0.025	0.004	0.042	0.086	-0.149	-0.059	1.369	0	-0.034	0.042
B7Z2R4	0.011	0.049	0.019	0.009	-0.196	-0.045	0.101	-0.084	-0.131	0.084	0.065	-0.06
Q5H945	-0.048	-0.043	0.16	0.124	-0.107	-0.187	0.165	0.077	-0.042	-0.032	0.341	-0.054
P22626	-0.014	-0.05	-0.453	0.038	0.54	-0.009	-0.099	-0.04	0.285	-0.018	-0.45	-0.051
P30048	0.18	0.163	-0.092	0.132	1.439	0.687	1.124	0.445	1.832	0.607	1.209	0.571
D3DSY9	-0.127	0.075	0.011	0.228	0.403	0.276	0.185	0.179	0.579	0.329	0.16	0.258
O43488	-0.161	-0.07	0.118	0.335	0.378	0.046	0.027	0.305	0.892	-0.076	-0.091	0.07
B2RDE8	0.028	-0.144	-0.02	-0.053	0.698	-0.195	0.451	-0.066	0.681	0.082	0.387	-0.008
P62993	-0.145	-0.312	0.025	0.25	-0.093	-0.113	-0.025	0.206	-0.157	-0.145	-0.297	0.109
Q8N4T8	0.259	0.05	-0.424	NA	0.633	0.142	0.161	NA	1.285	0.342	0.639	NA
Q13162	-0.006	0.446	-0.058	0.507	0.407	0.705	0.085	0.604	0.443	0.344	0.086	0.554
P62906	0.088	0.028	-0.117	0.226	0.521	0.293	0.081	0.141	0.831	0.282	0.169	-0.014
Q8IUZ5	0.124	-0.255	0.123	0.243	0.213	0.001	0.097	0.135	0.651	0.57	0.135	0.133
Q8WZ42-6	-0.045	-0.331	0.03	0.007	-0.022	-0.408	-0.096	0.004	0.427	-0.263	0.454	-0.132
P50135	-0.178	0.02	-0.342	-0.338	0.723	0.148	0.097	-0.582	0.999	-0.079	-0.049	-0.55
Q86YZ3	-0.222	-0.225	-0.08	-0.191	-0.263	0.161	0.201	-0.895	-0.055	-0.382	-0.431	-0.143
Q5R3I4	0.014	0.189	-0.029	NA	0.869	0.244	0.352	NA	1.316	0.303	0.411	NA
P55259	0.01	-0.151	NA	NA	0.127	-0.178	NA	NA	0.059	0.016	NA	NA
P53597	0.078	0.228	NA	NA	0.885	0.356	NA	NA	2.032	0.883	NA	NA
Q9NSE4	0.121	-0.16	NA	NA	0.638	-0.162	NA	NA	1.454	0.007	NA	NA
B4E1L5	-0.066	NA	-0.44	0.116	0.287	NA	-0.797	0.248	0.118	NA	-0.548	0.036
P13497	0.134	0.068	0.034	-0.094	-0.011	0.037	0.066	-0.097	-0.109	-0.193	-0.038	-0.112
Q9Y625	0.198	0.222	0.267	0.184	0.405	0.487	0.369	0.207	0.002	0.405	0.307	0.127
B9ZVX0	0.1	0	0.088	0.291	0.004	0.137	0.15	0.567	0.191	0.285	0.074	0.509
P16278	-0.044	-0.052	0.007	0.142	0.059	0.003	-0.072	0.097	-0.026	-0.046	-0.101	0.095
P48745	0.192	0.688	0.092	0.366	0.194	0.376	-0.056	0.117	-0.149	0.086	-0.007	0.085
O75503	-0.03	0.08	0.045	-0.008	-0.032	0.092	-0.019	-0.133	-0.118	0.047	-0.084	-0.169
Q15631	0.067	0.105	0.015	0.408	0.294	0.441	0.174	0.448	0.508	0.299	0.339	0.309
P03989	-0.09	0.01	-0.026	0.019	0.009	0.058	-0.021	0.024	-0.06	-0.039	-0.016	-0.075
B7ZLT7	-0.005	0.017	0.017	0.162	-0.082	0.1	-0.142	0.073	-0.232	0.094	-0.053	0.042
Q03591	0.469	-0.813	-0.793	-1.367	0.127	-0.55	-1.514	-1.133	0.401	-0.723	-0.842	-1.028
Q9HBB8	-0.149	-0.027	-0.033	-0.056	-0.175	-0.113	-0.029	-0.06	-0.182	-0.091	-0.025	-0.09
P17181	-0.082	0.038	-0.007	0.208	-0.078	0.075	-0.048	0.165	-0.022	0.032	-0.099	-0.012
O94923	0.101	-0.023	0.078	-0.064	0.042	-0.033	-0.102	-0.033	0.021	0.026	0.177	0.028
P30044	0.05	-0.041	-0.027	0.174	0.274	0.18	0.324	0.301	0.646	0.04	-0.079	0.391
B7ZBC3	-0.022	0.115	-0.045	-0.008	-0.027	-0.028	-0.194	-0.084	-0.128	0.074	-0.189	-0.002
P48595	0.103	0.033	-0.164	-0.127	0.142	0.124	0.302	0.435	0.003	0.048	0.16	0.008
P07203	-0.028	0.058	-0.03	0.231	0.049	0.282	-0.03	0.253	0.049	0.247	0.179	0.109
P54725	0.095	0.176	-0.214	0.118	0.233	0.396	-0.077	0.108	0.187	0.371	-0.006	0.087
Q16775-2	0.176	0.322	-0.202	0.303	0.654	0.68	0.281	0.143	0.407	0.18	0.028	0.247
Q99969	0.128	0.327	0.224	0.013	0.034	0.261	0.068	0.034	-0.296	-0.13	-0.171	0.04
Q6Q3G8	-0.071	0.016	-0.027	0.07	0.111	0.038	-0.061	-0.039	-0.143	-0.078	-0.006	0.103
B5MDF5	0.078	0.212	-0.297	-0.157	0.325	0.656	-0.017	-0.096	0.347	0.123	-0.041	-0.16
P63208	0.069	0.343	-0.167	0.149	0.389	0.687	0.197	0.486	0.537	0.448	0.1	0.33
Q3ZCW2	-0.545	-0.41	0.39	0.376	-0.463	-0.508	0.12	0.549	-0.006	-0.02	-0.267	0.463
O75063	0.032	-0.062	-0.033	0.112	0.044	-0.01	-0.001	-0.164	0.05	-0.049	0.087	-0.008
Q6ICL3	-0.021	-0.035	-0.145	0.138	-0.041	0.295	-0.071	0.447	-0.036	0.091	-0.121	0.413
B7Z972	-0.159	-0.01	-0.158	0.064	0.038	0.191	-0.062	0.254	0.163	0.021	-0.091	0.148
P08582	0.148	0.063	-0.024	-0.162	0.196	0.041	-0.1	-0.073	0.113	-0.039	-0.08	-0.139
P13686	-0.015	0.128	0.059	-0.002	0.008	0.083	0.062	-0.172	-0.057	-0.023	0.125	0.057
P01344	-0.099	-0.049	0.009	-0.008	-0.138	-0.061	0.011	0.058	-0.316	-0.081	0.032	0.016
Q15746	-0.034	0.069	0.092	0.335	-0.23	-0.024	0.055	0.299	-0.104	0.114	-0.281	0.255
P30501	-0.159	-0.067	0.047	-0.115	0.122	-0.005	-0.03	0.153	-0.038	-0.145	0.046	0.084
